    Proporción de extranjeros sobre la población total (Porcentaje) 869
    Renta neta media anual de los hogares (Euros)   33976.84
Zaragoza sub-city dist. No. 10-C
    Población residente (Personas)  26609.0
    Proporción de población >65 años (Porcentaje)   2698
    Proporción de nacionales sobre la población total (Porcentaje)  25321
    Proporción de extranjeros sobre la población total (Porcentaje) 1288
    Renta neta media anual de los hogares (Euros)   29560.87
Zaragoza sub-city dist. No. 10-D
    Población residente (Personas)  27955.0
    Proporción de población >65 años (Porcentaje)   5172
    Proporción de nacionales sobre la población total (Porcentaje)  25364
    Proporción de extranjeros sobre la población total (Porcentaje) 2591
    Renta neta media anual de los hogares (Euros)   28390.6
Zaragoza sub-city dist. No. 10-E
    Población residente (Personas)  29786.0
    Proporción de población >65 años (Porcentaje)   5028
    Proporción de nacionales sobre la población total (Porcentaje)  27421
    Proporción de extranjeros sobre la población total (Porcentaje) 2365
    Renta neta media anual de los hogares (Euros)   28519.64
Zaragoza sub-city dist. No. 11
    Población residente (Personas)  25735.0
    Proporción de población >65 años (Porcentaje)   3490
    Proporción de nacionales sobre la población total (Porcentaje)  24507
    Proporción de extranjeros sobre la población total (Porcentaje) 1228
    Renta neta media anual de los hogares (Euros)   32875.37
Zaragoza sub-city dist. No. 12
    Población residente (Personas)  14893.0
    Proporción de población >65 años (Porcentaje)   2697
    Proporción de nacionales sobre la población total (Porcentaje)  13353
    Proporción de extranjeros sobre la población total (Porcentaje) 1540
    Renta neta media anual de los hogares (Euros)   29304.68
Notas:
Renta referida al año 2014
La Prosperitat (Barcelona): Dato de año 2013 corregido por reajuste territorial
AUF: Área Urban Funcional
Fuente: Instituto Nacional de Estadística
